"Image.File"	"Carbonate.sand"	"Coral.rubble"	"Indeterminate"	"Seagrasses"	"Senile.coral.reef"
"88"	"f004/elh2_004937.jpg"	0.006	0.168	0	0	0.826
"89"	"f004/elh2_004676.jpg"	0.002	0.068	0.004	0	0.926
"90"	"f004/elh2_004178.jpg"	0	0.252	0.224	0	0.524
"91"	"f004/elh2_004981.jpg"	0.07	0.662	0	0	0.268
"92"	"f004/elh2_004982.jpg"	0.048	0.886	0.002	0	0.064
"93"	"f004/elh2_004896.jpg"	0.024	0.498	0	0	0.478
"94"	"f004/elh2_004085.jpg"	0	0.006	0.99	0.004	0
"95"	"f004/elh2_004884.jpg"	0.002	0.254	0.002	0	0.742
"96"	"f004/elh2_004641.jpg"	0.008	0.502	0	0	0.49
"97"	"f004/elh2_004356.jpg"	0	0.97	0	0	0.03
"98"	"f004/elh2_004665.jpg"	0.028	0.75	0	0	0.222
"99"	"f004/elh2_004327.jpg"	0	0.886	0.03	0	0.084
"100"	"f004/elh2_004532.jpg"	0.008	0.05	0	0	0.942
"101"	"f004/elh2_004664.jpg"	0.002	0.386	0	0	0.612
"102"	"f004/elh2_004625.jpg"	0.008	0.088	0	0	0.904
"103"	"f004/elh2_004568.jpg"	0.01	0.298	0.008	0	0.684
"104"	"f004/elh2_004236.jpg"	0	0.344	0.058	0	0.598
"105"	"f004/elh2_004340.jpg"	0	0.868	0.024	0	0.108
"106"	"f004/elh2_004206.jpg"	0	0.266	0.378	0	0.356
"107"	"f004/elh2_004095.jpg"	0	0.004	0.996	0	0
"108"	"f004/elh2_004374.jpg"	0.002	0.85	0.01	0	0.138
"109"	"f004/elh2_004931.jpg"	0.136	0.668	0	0	0.196
"110"	"f004/elh2_004850.jpg"	0.006	0.286	0	0	0.708
"111"	"f004/elh2_004139.jpg"	0	0.182	0.794	0	0.024
"112"	"f004/elh2_004584.jpg"	0.034	0.126	0	0	0.84
"113"	"f004/elh2_004319.jpg"	0	0.738	0.1	0	0.162
"114"	"f004/elh2_004905.jpg"	0.094	0.444	0	0	0.462
"115"	"f004/elh2_004028.jpg"	0	0	1	0	0
"116"	"f004/elh2_004549.jpg"	0.016	0.136	0	0	0.848
"117"	"f004/elh2_004489.jpg"	0.004	0.618	0.006	0	0.372
"118"	"f004/elh2_004436.jpg"	0.096	0.108	0	0	0.796
"119"	"f004/elh2_004550.jpg"	0.054	0.496	0	0	0.45
"120"	"f004/elh2_004942.jpg"	0.002	0.158	0	0	0.84
"121"	"f004/elh2_004154.jpg"	0	0.182	0.304	0	0.514
"122"	"f004/elh2_004873.jpg"	0.052	0.84	0	0	0.108
"123"	"f004/elh2_004642.jpg"	0.004	0.772	0	0	0.224
"124"	"f004/elh2_004787.jpg"	0.386	0.138	0	0	0.476
"125"	"f004/elh2_004750.jpg"	0.796	0.084	0	0	0.12
"126"	"f004/elh2_004926.jpg"	0.096	0.5	0	0	0.404
"127"	"f004/elh2_004364.jpg"	0	0.73	0.054	0	0.216
"128"	"f004/elh2_004069.jpg"	0	0.028	0.972	0	0
"129"	"f004/elh2_004446.jpg"	0.028	0.45	0	0	0.522
"130"	"f004/elh2_004317.jpg"	0.002	0.796	0.052	0	0.15
"131"	"f004/elh2_004474.jpg"	0.006	0.55	0.006	0	0.438
"132"	"f004/elh2_004623.jpg"	0.01	0.118	0	0	0.872
"133"	"f004/elh2_004645.jpg"	0.006	0.35	0.01	0	0.634
"134"	"f004/elh2_004144.jpg"	0	0.046	0.314	0	0.64
"135"	"f004/elh2_004256.jpg"	0.002	0.66	0.118	0	0.22
"136"	"f004/elh2_004824.jpg"	0.074	0.7	0	0	0.226
"137"	"f004/elh2_004170.jpg"	0	0.37	0.586	0	0.044
"138"	"f004/elh2_004134.jpg"	0	0.004	0.996	0	0
"139"	"f004/elh2_004648.jpg"	0.008	0.258	0	0	0.734
"140"	"f004/elh2_004848.jpg"	0.01	0.784	0.002	0	0.204
"141"	"f004/elh2_004064.jpg"	0	0.002	0.994	0.004	0
"142"	"f004/elh2_004117.jpg"	0	0.014	0.978	0.008	0
"143"	"f004/elh2_004473.jpg"	0.004	0.578	0.002	0	0.416
"144"	"f004/elh2_004972.jpg"	0.016	0.142	0	0	0.842
"145"	"f004/elh2_004307.jpg"	0.006	0.806	0.028	0	0.16
"146"	"f004/elh2_004238.jpg"	0	0.47	0.122	0	0.408
"147"	"f004/elh2_004323.jpg"	0	0.94	0.008	0	0.052
